player_name,field,statscrew_value,second_source_value,resolution,status,evidence_url,note
TEAM,goals_for,78,78,"StatsCrew and FBref agree on 78 Sassuolo goals in Serie B 2012/13.","resolved",https://fbref.com/en/squads/e2befd26/2012-2013/Sassuolo-Stats,"FBref search/open metadata reports Goals: 78; StatsCrew line reports team paced circuit with 78 goals."
TEAM,player_goals_sum,76,78,"StatsCrew player rows sum to 76 while team goals total is 78.","source_conflict",https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,"The two-goal gap cannot be fully imported as player goals."
Carlo Alberto Ludi,own_goal,,1,"Opponent own goal identified in Novara 3-2 Sassuolo, 2013-04-06, 31'. Counts for Sassuolo team goals but not Sassuolo player goals.","resolved",https://www.espn.com/soccer/match/_/gameId/353056/sassuolo-novara,"ESPN search result and BeSoccer event page both identify C. Ludi/Carlo Alberto Ludi own goal."
Alex Valentini,own_goal,,1,"Opponent own goal identified in Sassuolo-Pro Vercelli 2-1, 2012-09-15, 38'. Counts for Sassuolo team goals but not Sassuolo player goals.",resolved,https://www.espn.com.au/football/match/_/gameId/353397/pro-vercelli-sassuolo,"Confirmed by the visible ESPN match scoreboard; Transfermarkt and BeSoccer are retained as supporting references."
Alberto Pomini,appearances,41,4,"ESPN squad page appears internally inconsistent for Serie B 2012/13 and is not accepted as replacement for StatsCrew.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"ESPN roster page lists much lower values for several players; likely incomplete/rendered incorrectly in accessible HTML."
Alessandro Longhi,appearances,41,9,"ESPN squad page conflicts with StatsCrew and is not accepted as replacement.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"StatsCrew line remains candidate because it is complete and aligns with top appearance summary from historical pages."
Emanuele Terranova,appearances,37,17,"ESPN squad page conflicts with StatsCrew and is not accepted as replacement.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"Goals agree at 11, appearances do not."
Francesco Magnanelli,appearances,40,13,"ESPN squad page conflicts with StatsCrew and is not accepted as replacement.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"ESPN accessible HTML is not reliable enough for replacement."
Simone Missiroli,appearances,37,12,"ESPN squad page conflicts with StatsCrew and is not accepted as replacement.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"Goals agree at 6, appearances do not."
Domenico Berardi,appearances,37,35,"ESPN differs by two appearances but agrees on 11 goals.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"Wikipedia-derived career table also reports 37 league appearances, but Wikipedia is not used as sole proof."
Richmond Boakye,appearances,32,27,"ESPN differs by five appearances but agrees on 11 goals.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"Keep StatsCrew candidate pending better official/archived source."
Leonardo Pavoletti,appearances,33,28,"ESPN differs by five appearances but agrees on 11 goals.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"Keep StatsCrew candidate pending better official/archived source."
Andrea Catellani,appearances,34,29,"ESPN differs by five appearances but agrees on 6 goals.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"Keep StatsCrew candidate pending better official/archived source."
Gennaro Troianiello,appearances,29,27,"ESPN differs by two appearances but agrees on 5 goals.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"Keep StatsCrew candidate pending better official/archived source."
Gaetano Masucci,appearances,14,13,"ESPN differs by one appearance but agrees on 4 goals.","source_conflict",https://www.espn.com/soccer/team/squad/_/id/3997/league/ITA.2/season/2012,"Keep StatsCrew candidate pending better official/archived source."
